iter	Passed	Remaining
404	6769	9945
405	6785	9927
406	6802	9910
407	6820	9897
408	6837	9879
409	6851	9860
410	6867	9841
411	6884	9825
412	6899	9806
413	6915	9788
414	6931	9770
415	6947	9753
416	6963	9736
417	6979	9718
418	6998	9704
419	7016	9688
420	7034	9674
421	7049	9655
422	7065	9638
423	7080	9619
424	7096	9601
425	7113	9584
426	7129	9567
427	7147	9551
428	7162	9533
429	7179	9516
430	7194	9497
431	7209	9479
432	7225	9461
433	7241	9443
434	7256	9425
435	7274	9409
436	7289	9391
437	7305	9374
438	7322	9357
439	7338	9339
440	7354	9322
441	7371	9306
442	7387	9288
443	7403	9270
444	7418	9252
445	7435	9235
446	7448	9215
447	7463	9196
448	7479	9178
449	7497	9163
450	7512	9145
451	7528	9126
452	7542	9108
453	7561	9094
454	7581	9080
455	7599	9065
456	7616	9049
457	7633	9033
458	7652	9020
459	7669	9003
460	7689	8990
461	7705	8973
462	7722	8956
463	7737	8938
464	7753	8920
465	7769	8903
466	7784	8884
467	7801	8868
468	7821	8855
469	7839	8839
470	7857	8824
471	7874	8808
472	7890	8790
473	7906	8774
474	7922	8756
475	7939	8740
476	7956	8723
477	7971	8705
478	7988	8688
479	8003	8670
480	8017	8650
481	8033	8633
482	8050	8617
483	8064	8597
484	8079	8579
485	8096	8563
486	8111	8544
487	8129	8529
488	8145	8511
489	8161	8494
490	8176	8476
491	8191	8458
492	8207	8440
493	8224	8423
494	8240	8406
495	8256	8390
496	8272	8372
497	8289	8355
498	8308	8341
499	8324	8324
500	8338	8305
501	8354	8288
502	8370	8270
503	8385	8252
504	8402	8235
505	8418	8218
506	8434	8201
507	8450	8184
508	8466	8167
509	8481	8149
510	8498	8132
511	8514	8115
512	8530	8098
513	8548	8082
514	8565	8066
515	8583	8050
516	8600	8034
517	8616	8017
518	8632	8000
519	8648	7983
520	8665	7967
521	8681	7949
522	8698	7933
523	8714	7916
524	8731	7899
525	8746	7881
526	8762	7864
527	8778	7847
528	8797	7832
529	8813	7815
530	8828	7797
531	8845	7781
532	8861	7763
533	8878	7747
534	8894	7730
535	8909	7712
536	8925	7695
537	8942	7679
538	8958	7661
539	8974	7645
540	8992	7629
541	9007	7611
542	9024	7595
543	9042	7579
544	9060	7563
545	9077	7548
546	9095	7532
547	9113	7516
548	9128	7498
549	9144	7481
550	9159	7463
551	9174	7445
552	9189	7428
553	9205	7410
554	9221	7393
555	9237	7376
556	9252	7358
557	9270	7342
558	9287	7326
559	9302	7308
560	9317	7291
561	9333	7273
562	9350	7257
563	9366	7240
564	9382	7223
565	9398	7206
566	9413	7189
567	9428	7171
568	9443	7153
569	9459	7135
570	9475	7118
571	9491	7102
572	9507	7085
573	9522	7067
574	9537	7049
575	9552	7031
576	9567	7013
577	9582	6996
578	9598	6979
579	9615	6962
580	9631	6945
581	9646	6928
582	9662	6911
583	9678	6894
584	9696	6878
585	9711	6861
586	9727	6844
587	9743	6827
588	9759	6810
589	9773	6792
590	9793	6777
591	9808	6760
592	9825	6743
593	9840	6726
594	9856	6709
595	9873	6692
596	9889	6675
597	9906	6659
598	9924	6644
599	9941	6627
600	9958	6611
601	9977	6596
602	9996	6581
603	10015	6566
604	10031	6549
605	10047	6532
606	10064	6516
607	10081	6500
608	10098	6483
609	10114	6466
610	10132	6450
611	10148	6434
612	10166	6418
613	10184	6402
614	10200	6385
615	10216	6368
616	10233	6352
617	10250	6336
618	10265	6318
619	10281	6301
620	10297	6284
621	10313	6267
622	10329	6250
623	10345	6234
624	10363	6217
625	10379	6201
626	10395	6184
